,shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,honey,salad,mineral water,salmon,antioxydant juice,frozen smoothie,spinach,olive oil
4613,muffins,,,,,,,,,,,,,,,,,,,
2352,fresh tuna,grated cheese,spaghetti,mineral water,salmon,eggs,mashed potato,,,,,,,,,,,,,
1201,eggs,,,,,,,,,,,,,,,,,,,
1484,burgers,tomatoes,mineral water,bramble,,,,,,,,,,,,,,,,
4864,mineral water,nonfat milk,eggs,carrots,,,,,,,,,,,,,,,,
4074,shrimp,avocado,candy bars,,,,,,,,,,,,,,,,,
2287,green tea,,,,,,,,,,,,,,,,,,,
6782,muffins,whole wheat rice,cake,fresh bread,,,,,,,,,,,,,,,,
3124,chocolate,frozen vegetables,whole wheat rice,carrots,french fries,cookies,,,,,,,,,,,,,,
1192,meatballs,green tea,,,,,,,,,,,,,,,,,,
6714,turkey,shrimp,spaghetti,mineral water,milk,soda,burger sauce,asparagus,,,,,,,,,,,,
2092,barbecue sauce,,,,,,,,,,,,,,,,,,,
4624,meatballs,,,,,,,,,,,,,,,,,,,
1111,green tea,,,,,,,,,,,,,,,,,,,
6828,herb & pepper,chicken,cookies,,,,,,,,,,,,,,,,,
1294,burgers,,,,,,,,,,,,,,,,,,,
4191,french fries,cottage cheese,,,,,,,,,,,,,,,,,,
4662,mineral water,cereals,,,,,,,,,,,,,,,,,,
1595,mineral water,cooking oil,mint,,,,,,,,,,,,,,,,,
4885,burgers,ground beef,energy bar,eggs,french fries,,,,,,,,,,,,,,,
7340,mineral water,flax seed,,,,,,,,,,,,,,,,,,
1645,whole weat flour,green tea,pancakes,melons,,,,,,,,,,,,,,,,
2916,fresh bread,,,,,,,,,,,,,,,,,,,
6786,whole wheat pasta,milk,pancakes,eggs,,,,,,,,,,,,,,,,
4617,mineral water,french wine,eggs,chocolate,,,,,,,,,,,,,,,,
5411,spaghetti,salmon,pancakes,french fries,cookies,pasta,green tea,,,,,,,,,,,,,
484,cookies,,,,,,,,,,,,,,,,,,,
4157,burgers,eggs,,,,,,,,,,,,,,,,,,
2023,burgers,tomatoes,chocolate,,,,,,,,,,,,,,,,,
2123,shrimp,mineral water,milk,hand protein bar,tomato juice,,,,,,,,,,,,,,,
2641,cookies,,,,,,,,,,,,,,,,,,,
