,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
21380,None,276.15,0.0,0.0,1,Drizzle,light intensity drizzle,2/19/2016 5:00,2539,low
26524,None,286.07,0.0,0.0,1,Clear,sky is clear,9/11/2016 6:00,1276,very low
30376,None,274.65,0.0,0.0,90,Mist,mist,1/22/2017 5:00,591,very low
29126,None,257.55,0.0,0.0,1,Snow,light snow,12/14/2016 12:00,4944,high
5723,None,277.23,0.0,0.0,1,Clear,sky is clear,5/3/2013 22:00,2972,medium
29130,None,258.15,0.0,0.0,1,Snow,light snow,12/14/2016 14:00,5058,high
20721,None,265.36,0.0,0.0,90,Mist,mist,1/20/2016 12:00,4688,high
33307,None,283.26,0.0,0.0,75,Clouds,broken clouds,5/2/2017 12:00,4693,high
40911,None,267.87,0.0,0.0,40,Clouds,scattered clouds,1/23/2018 18:00,3467,medium
47972,None,280.12,0.0,0.0,1,Clear,sky is clear,9/21/2018 23:00,2179,low
33360,None,292.88,0.0,0.0,40,Clouds,scattered clouds,5/4/2017 17:00,6402,very high
15160,None,295.7,0.0,0.0,40,Clouds,scattered clouds,6/27/2014 8:00,5703,high
36365,None,291.57,0.0,0.0,90,Rain,light rain,8/17/2017 13:00,4963,high
29099,None,257.77,0.0,0.0,1,Snow,light snow,12/13/2016 12:00,4555,high
15519,None,290.53,0.0,0.0,40,Clouds,scattered clouds,7/15/2014 10:00,4573,high
33809,None,285.51,0.0,0.0,1,Clear,sky is clear,5/19/2017 17:00,5970,very high
10857,None,264.73,0.0,0.0,64,Clouds,broken clouds,12/21/2013 23:00,1727,low
28886,None,266.02,0.0,0.0,90,Snow,light snow,12/7/2016 1:00,388,very low
1525,None,265.25,0.0,0.0,75,Clouds,broken clouds,11/28/2012 5:00,2638,low
15768,None,299.5,0.0,0.0,75,Clouds,broken clouds,7/26/2014 11:00,4384,high
46587,None,291.35,0.0,0.0,1,Mist,mist,8/10/2018 4:00,818,very low
7724,None,299.58,0.0,0.0,12,Clouds,few clouds,7/16/2013 21:00,2721,low
46425,None,295.79,0.0,0.0,90,Rain,light rain,8/4/2018 12:00,4263,medium
2714,None,265.12,0.0,0.0,1,Haze,haze,1/6/2013 11:00,3190,medium
14660,None,300.96,0.0,0.0,75,Clouds,broken clouds,5/26/2014 15:00,3654,medium
17378,None,298.1,1.2,0.0,1,Rain,moderate rain,8/14/2015 22:00,2560,low
5446,None,273.61,0.0,0.0,90,Snow,heavy snow,4/23/2013 19:00,3181,medium
19099,None,289.12,0.0,0.0,1,Clear,sky is clear,10/20/2015 19:00,3372,medium
15506,None,287.27,0.0,0.0,90,Rain,light rain,7/14/2014 21:00,2263,low
16935,None,300.92,0.0,0.0,90,Clouds,overcast clouds,7/28/2015 15:00,5617,high
3626,None,273.2,0.0,0.0,90,Mist,mist,2/15/2013 1:00,465,very low
36579,None,288.75,0.0,0.0,1,Clear,sky is clear,8/25/2017 3:00,373,very low
7402,None,299.15,0.0,0.0,1,Clear,sky is clear,7/3/2013 12:00,5440,high
6344,None,284.08,0.0,0.0,90,Drizzle,light intensity drizzle,5/23/2013 18:00,4200,medium
1886,None,271.89,0.0,0.0,90,Snow,heavy snow,12/10/2012 16:00,4685,high
47497,None,285.49,0.0,0.0,1,Clear,sky is clear,9/7/2018 0:00,550,very low
36427,None,287.61,0.0,0.0,20,Fog,fog,8/19/2017 8:00,2710,low
7879,None,294.74,0.0,0.0,12,Clouds,few clouds,7/23/2013 9:00,5131,high
3085,None,256.92,0.0,0.0,90,Clouds,overcast clouds,1/21/2013 11:00,3551,medium
15537,None,286.04,0.0,0.0,1,Clear,sky is clear,7/16/2014 4:00,934,very low
