Green frogs,RoadDistanceR,ShoreR,VegetationR,AcessR,UseR,PollutionR,SurfaceR,Brown frogs,TypeR,BuildingR,FishingR
1,1,natural,3,100,0,0,300,1,h,1,0
0,2,natural,2,100,0,0,300,1,i,1,0
1,10,natural,3,100,0,0,300,1,g,10,0
0,0,natural,1,50,1,0,200,0,d,0,0
0,2,natural,1,100,0,0,1000,1,h,9,0
1,1,natural,0,100,3,0,1800,1,a,2,2
1,5,natural,2,100,0,0,50,1,a,5,0
0,5,concrete,0,100,3,0,1100,0,d,1,3
1,2,natural,0,75,3,0,1600,1,a,1,1
1,2,natural,1,100,3,0,100,0,d,1,0
0,1,natural,3,100,0,0,300,1,h,2,0
1,5,natural,1,100,0,0,300,0,j,5,0
0,5,natural,4,100,0,0,100,0,g,5,0
1,2,natural,1,100,3,0,80000,1,a,2,4
1,1,natural,3,100,0,0,8250,1,a,2,0
1,5,natural,1,100,0,0,300,1,j,5,0
0,2,natural,2,100,0,0,300,1,j,5,0
0,1,natural,3,100,0,0,300,1,h,0,0
1,0,natural,3,75,0,0,500,1,a,1,0
1,5,natural,0,100,3,0,31000,1,a,5,4
0,5,natural,4,100,0,0,200,0,h,5,0
1,0,natural,3,25,0,0,300,1,a,0,0
1,2,natural,2,100,3,0,600,1,d,2,2
1,1,natural,2,100,0,0,16000,1,a,5,2
1,1,natural,4,100,0,0,1000,0,a,1,0
1,1,natural,0,75,0,0,3400,0,b,1,0
0,1,natural,3,100,0,0,300,1,h,1,0
1,0,natural,3,100,0,0,1000,1,a,1,0
0,1,natural,2,100,0,0,400,1,a,5,0
1,2,natural,1,100,0,2,1700,1,a,2,1
1,2,natural,3,100,0,0,30000,1,a,10,0
1,1,natural,0,100,3,0,350,1,a,1,3
0,1,natural,4,100,0,0,4000,1,h,1,0
0,5,natural,4,100,0,0,100,1,h,5,0
0,1,natural,2,100,0,0,1000,0,a,1,0
1,1,natural,1,100,3,0,360000,1,a,1,4
1,0,natural,0,75,3,0,1000,0,a,0,3
0,1,natural,2,100,0,0,100,1,a,1,0
1,9,natural,2,100,0,0,9000,1,a,9,1
0,1,natural,1,75,3,0,200,1,d,1,4
1,2,natural,2,100,0,0,2300,1,a,1,0
1,5,natural,3,100,0,0,300,1,i,5,0
