PollutionR,AcessR,FishingR,Brown frogs,SurfaceR,TypeR,RoadDistanceR,BuildingR,VegetationR,Green frogs,UseR,ShoreR
0,100,0,1,300,h,1,1,3,1,0,natural
0,100,0,1,300,i,2,1,2,0,0,natural
0,100,0,1,300,g,10,10,3,1,0,natural
0,50,0,0,200,d,0,0,1,0,1,natural
0,100,0,1,1000,h,2,9,1,0,0,natural
0,100,2,1,1800,a,1,2,0,1,3,natural
0,100,0,1,50,a,5,5,2,1,0,natural
0,100,3,0,1100,d,5,1,0,0,3,concrete
0,75,1,1,1600,a,2,1,0,1,3,natural
0,100,0,0,100,d,2,1,1,1,3,natural
0,100,0,1,300,h,1,2,3,0,0,natural
0,100,0,0,300,j,5,5,1,1,0,natural
0,100,0,0,100,g,5,5,4,0,0,natural
0,100,4,1,80000,a,2,2,1,1,3,natural
0,100,0,1,8250,a,1,2,3,1,0,natural
0,100,0,1,300,j,5,5,1,1,0,natural
0,100,0,1,300,j,2,5,2,0,0,natural
0,100,0,1,300,h,1,0,3,0,0,natural
0,75,0,1,500,a,0,1,3,1,0,natural
0,100,4,1,31000,a,5,5,0,1,3,natural
0,100,0,0,200,h,5,5,4,0,0,natural
0,25,0,1,300,a,0,0,3,1,0,natural
0,100,2,1,600,d,2,2,2,1,3,natural
0,100,2,1,16000,a,1,5,2,1,0,natural
0,100,0,0,1000,a,1,1,4,1,0,natural
0,75,0,0,3400,b,1,1,0,1,0,natural
0,100,0,1,300,h,1,1,3,0,0,natural
0,100,0,1,1000,a,0,1,3,1,0,natural
0,100,0,1,400,a,1,5,2,0,0,natural
2,100,1,1,1700,a,2,2,1,1,0,natural
0,100,0,1,30000,a,2,10,3,1,0,natural
0,100,3,1,350,a,1,1,0,1,3,natural
0,100,0,1,4000,h,1,1,4,0,0,natural
0,100,0,1,100,h,5,5,4,0,0,natural
0,100,0,0,1000,a,1,1,2,0,0,natural
0,100,4,1,360000,a,1,1,1,1,3,natural
0,75,3,0,1000,a,0,0,0,1,3,natural
0,100,0,1,100,a,1,1,2,0,0,natural
0,100,1,1,9000,a,9,9,2,1,0,natural
0,75,4,1,200,d,1,1,1,0,3,natural
0,100,0,1,2300,a,2,1,2,1,0,natural
0,100,0,1,300,i,5,5,3,1,0,natural
2,100,0,1,300,j,1,1,1,0,0,natural
0,75,4,0,25000,a,0,0,0,1,3,natural
0,100,1,1,150,a,0,1,1,1,0,natural
0,100,0,0,7000,a,5,5,4,0,0,natural
0,50,3,1,300,a,0,0,0,1,3,natural
0,100,3,0,500,a,1,2,0,0,3,natural
2,100,0,0,300,a,5,5,2,1,0,natural
0,100,0,0,200,a,2,1,4,1,0,natural
0,100,0,1,1000,a,5,5,1,1,0,natural
0,100,0,1,30000,a,5,5,3,1,1,natural
0,100,0,1,200,d,1,1,2,1,3,natural
0,75,0,1,200,a,0,0,1,0,0,natural
0,75,4,0,2400,a,1,1,0,1,3,natural
0,50,0,1,2600,a,0,0,2,1,0,natural
0,100,2,0,9000,b,1,1,0,1,1,natural
0,100,0,1,200,h,0,0,4,0,0,natural
0,75,1,1,700,d,1,1,1,0,3,natural
0,100,2,1,28300,a,0,0,1,1,3,natural
0,100,0,1,100,g,10,10,4,1,0,natural
0,100,0,1,200,a,1,1,1,1,0,natural
0,100,3,1,15000,a,0,1,2,1,3,natural
0,80,2,1,4000,a,1,1,1,1,3,natural
0,100,0,1,4300,a,5,5,3,1,0,natural
0,100,3,1,8300,a,2,2,2,1,3,natural
0,100,0,1,400,a,0,1,2,0,0,natural
0,100,0,1,700,d,1,1,2,1,0,natural
0,50,4,0,7000,a,0,0,1,1,3,natural
0,100,0,1,300,i,2,0,1,0,0,natural
0,100,3,1,2300,a,0,0,1,1,1,natural
0,100,1,1,2400,a,1,1,2,1,0,natural
0,75,3,1,500000,a,1,1,3,1,3,natural
0,100,0,1,300,i,5,5,1,0,0,natural
0,75,3,1,19300,a,2,0,1,1,3,natural
0,100,3,1,450,a,5,2,1,1,3,natural
0,100,0,1,3500,a,2,2,2,1,0,natural
0,100,0,1,3500,a,2,2,3,1,0,natural
0,100,0,1,6300,a,2,1,0,1,0,natural
0,75,0,1,300,i,0,2,2,0,0,natural
0,50,3,1,2300,a,1,0,1,1,3,natural
0,100,0,1,300,h,5,5,4,0,0,natural
0,100,0,1,300,j,1,1,1,0,0,natural
0,100,4,1,40000,a,1,1,1,1,3,natural
0,100,2,1,4500,a,9,9,1,1,3,natural
0,100,0,1,300,i,1,1,1,0,0,natural
0,100,0,0,300,j,1,1,1,0,0,natural
0,50,0,1,3500,b,0,0,0,1,0,natural
0,50,0,0,600,a,0,0,4,0,0,natural
0,99,0,1,600,a,0,5,4,0,0,natural
0,100,4,1,4000,a,2,1,0,1,3,natural
